latitude;longitude;start_time(YYYYMMddHHmmZ);duration(ms)
51.20665;4.391354;201402270816+0100;212719
51.16913;4.3863664;201402270831+0100;731240
51.216133;4.3941784;201402270905+0100;1543
51.207188;4.3876495;201402270915+0100;123234
51.2075;4.3857994;201402270922+0100;146
51.20759;4.3857627;201402270936+0100;237
51.216316;4.394108;201402270947+0100;869454
51.20721;4.387112;201402271015+0100;1367212
51.20696;4.3867035;201402271043+0100;1146950
51.216286;4.394143;201402271110+0100;1007107
51.207104;4.386944;201402271136+0100;366184
51.216305;4.394093;201402271149+0100;1294388
51.20714;4.387056;201402271220+0100;589969
51.207317;4.3874807;201402271236+0100;1162110
51.216335;4.3940687;201402271302+0100;311417
51.207188;4.3869224;201402271315+0100;120028
51.20706;4.3880177;201402271321+0100;651346
51.20713;4.3879123;201402271337+0100;421549
51.207165;4.3878527;201402271351+0100;364
51.207138;4.387905;201402271358+0100;868780
51.20667;4.391354;201402271423+0100;434776
51.205647;4.3920507;201402271437+0100;122961
51.161034;4.4173098;201402271443+0100;147171
50.839226;4.38057;201402271507+0100;270045
50.83954;4.381493;201402271517+0100;3029545
50.83897;4.3807464;201402271614+0100;178683
50.842125;4.3750486;201402271623+0100;25363
50.86119;4.449442;201402271629+0100;57458
50.863358;4.447343;201402271636+0100;590075
50.89274;4.4527965;201402271652+0100;117258
50.914566;4.4623446;201402271659+0100;160845
50.977695;4.4870963;201402271705+0100;1677
51.035053;4.4452314;201402271712+0100;124251
51.11968;4.4281816;201402271718+0100;23828
51.20665;4.3913884;201402271732+0100;759433
51.20723;4.387122;201402271751+0100;209
51.207165;4.3871975;201402271759+0100;4939039
51.207222;4.3874707;201402271928+0100;207
51.206978;4.3870077;201402271938+0100;521126
51.20715;4.3877707;201402271954+0100;159
51.207222;4.3867784;201402272000+0100;38403
51.20712;4.3874764;201402272007+0100;604081
51.20724;4.3874063;201402272025+0100;147845
51.20423;4.376511;201402272032+0100;303003
51.214203;4.4115806;201402272055+0100;40989942
51.20696;4.3867025;201402280830+0100;58033
51.207314;4.387678;201402280836+0100;120223
51.20696;4.386702;201402280842+0100;174
51.20706;4.386937;201402280849+0100;751595
51.216312;4.394223;201402280908+0100;2255060
51.20543;4.379549;201402280956+0100;62306
51.198524;4.3720026;201402281008+0100;319590
51.15922;4.384649;201402281024+0100;95557
51.157677;4.3863983;201402281032+0100;3587568
51.15727;4.3871593;201402281137+0100;2938938
51.207085;4.3869205;201402281247+0100;5340985
51.206966;4.3866887;201402281421+0100;425546
51.198368;4.371975;201402281441+0100;618177
51.16903;4.3865128;201402281518+0100;467053
51.205208;4.39132;201402281539+0100;68886
51.20756;4.3858004;201402281549+0100;225
51.207314;4.3876786;201402281556+0100;241036
51.20716;4.387645;201402281610+0100;163564
51.20712;4.3878565;201402281617+0100;2376973
51.20717;4.387573;201402281702+0100;73458
51.207043;4.3869286;201402281708+0100;142092
51.2072;4.387399;201402281715+0100;122587
51.21424;4.411584;201402281734+0100;2491804
51.21735;4.419394;201402281830+0100;1570759
51.217636;4.4203706;201402281901+0100;150847
51.21633;4.4207354;201402281928+0100;385423
50.98228;4.838153;201402282036+0100;2528009
50.982338;4.838037;201402282124+0100;11301959
51.207325;4.3862324;201403011248+0100;1830663
51.207508;4.3858957;201403011324+0100;364552
51.207485;4.3858104;201403011342+0100;250999
51.20737;4.386206;201403011353+0100;322151
51.20711;4.3868036;201403011406+0100;1608603
51.207333;4.3862586;201403011437+0100;4136793
51.20734;4.386173;201403011552+0100;753041
51.20742;4.3860216;201403011609+0100;65735
51.207504;4.3860617;201403011617+0100;858902
51.207134;4.386982;201403011636+0100;5876554
51.20696;4.386703;201403011821+0100;2056755
